ID,Name,GroupName
92,Western Coastal Shale Band Vegetation,Shale Band Vegetation
93,Elim Ferricrete Fynbos,Ferricrete Fynbos
94,Elim Ferricrete Fynbos,Ferricrete Fynbos
95,Agulhas Sand Fynbos,Sand Fynbos
96,Western Coastal Shale Band Vegetation,Shale Band Vegetation
97,Cape Inland Salt Pans,Inland Saline Vegetation
98,Agulhas Sand Fynbos,Sand Fynbos
99,Western Coastal Shale Band Vegetation,Shale Band Vegetation
100,Cape Inland Salt Pans,Inland Saline Vegetation
101,Cape Inland Salt Pans,Inland Saline Vegetation
102,Southern Coastal Forest,Zonal & Intrazonal Forests
103,Cape Inland Salt Pans,Inland Saline Vegetation
104,Central Ruens Shale Renosterveld,Shale Renosterveld
105,Central Ruens Shale Renosterveld,Shale Renosterveld
106,Southern Coastal Forest,Zonal & Intrazonal Forests
107,Elim Ferricrete Fynbos,Ferricrete Fynbos
108,Cape Inland Salt Pans,Inland Saline Vegetation
109,Cape Inland Salt Pans,Inland Saline Vegetation
110,Agulhas Sand Fynbos,Sand Fynbos
111,Agulhas Limestone Fynbos,Limestone Fynbos
112,Southern Coastal Forest,Zonal & Intrazonal Forests
113,Cape Inland Salt Pans,Inland Saline Vegetation
114,Elim Ferricrete Fynbos,Ferricrete Fynbos
115,Cape Inland Salt Pans,Inland Saline Vegetation
116,Cape Inland Salt Pans,Inland Saline Vegetation
117,De Hoop Limestone Fynbos,Limestone Fynbos
118,Freshwater Lakes,Waterbodies
119,Agulhas Sand Fynbos,Sand Fynbos
120,Cape Estuarine Salt Marshes,Estuarine Vegetation
121,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
122,De Hoop Limestone Fynbos,Limestone Fynbos
123,Cape Inland Salt Pans,Inland Saline Vegetation
124,Cape Inland Salt Pans,Inland Saline Vegetation
125,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
126,Elim Ferricrete Fynbos,Ferricrete Fynbos
127,Agulhas Limestone Fynbos,Limestone Fynbos
128,Southern Coastal Forest,Zonal & Intrazonal Forests
129,Agulhas Sand Fynbos,Sand Fynbos
130,Overberg Sandstone Fynbos,Sandstone Fynbos
131,Agulhas Sand Fynbos,Sand Fynbos
132,Agulhas Sand Fynbos,Sand Fynbos
133,Cape Inland Salt Pans,Inland Saline Vegetation
134,Agulhas Limestone Fynbos,Limestone Fynbos
135,Cape Inland Salt Pans,Inland Saline Vegetation
136,Southern Coastal Forest,Zonal & Intrazonal Forests
137,Cape Inland Salt Pans,Inland Saline Vegetation
138,Agulhas Sand Fynbos,Sand Fynbos
139,Western Coastal Shale Band Vegetation,Shale Band Vegetation
140,Southern Coastal Forest,Zonal & Intrazonal Forests
141,De Hoop Limestone Fynbos,Limestone Fynbos
142,De Hoop Limestone Fynbos,Limestone Fynbos
143,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
144,Cape Inland Salt Pans,Inland Saline Vegetation
145,Overberg Sandstone Fynbos,Sandstone Fynbos
146,Southern Coastal Forest,Zonal & Intrazonal Forests
147,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
148,Overberg Sandstone Fynbos,Sandstone Fynbos
149,Overberg Sandstone Fynbos,Sandstone Fynbos
150,Cape Inland Salt Pans,Inland Saline Vegetation
151,Agulhas Sand Fynbos,Sand Fynbos
152,De Hoop Limestone Fynbos,Limestone Fynbos
153,Southern Coastal Forest,Zonal & Intrazonal Forests
154,Agulhas Limestone Fynbos,Limestone Fynbos
155,Southern Coastal Forest,Zonal & Intrazonal Forests
156,Overberg Sandstone Fynbos,Sandstone Fynbos
157,Agulhas Limestone Fynbos,Limestone Fynbos
158,Southern Coastal Forest,Zonal & Intrazonal Forests
159,Overberg Sandstone Fynbos,Sandstone Fynbos
160,De Hoop Limestone Fynbos,Limestone Fynbos
161,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
162,Southern Coastal Forest,Zonal & Intrazonal Forests
163,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
164,Southern Coastal Forest,Zonal & Intrazonal Forests
165,Agulhas Limestone Fynbos,Limestone Fynbos
166,Cape Inland Salt Pans,Inland Saline Vegetation
167,Southern Coastal Forest,Zonal & Intrazonal Forests
168,De Hoop Limestone Fynbos,Limestone Fynbos
169,Overberg Sandstone Fynbos,Sandstone Fynbos
170,De Hoop Limestone Fynbos,Limestone Fynbos
171,Southern Coastal Forest,Zonal & Intrazonal Forests
172,Agulhas Limestone Fynbos,Limestone Fynbos
173,Southern Coastal Forest,Zonal & Intrazonal Forests
174,Overberg Sandstone Fynbos,Sandstone Fynbos
175,Western Coastal Shale Band Vegetation,Shale Band Vegetation
176,Elim Ferricrete Fynbos,Ferricrete Fynbos
177,Central Ruens Shale Renosterveld,Shale Renosterveld
178,Southern Coastal Forest,Zonal & Intrazonal Forests
179,Western Coastal Shale Band Vegetation,Shale Band Vegetation
180,Agulhas Limestone Fynbos,Limestone Fynbos
181,Western Coastal Shale Band Vegetation,Shale Band Vegetation
182,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
183,Elim Ferricrete Fynbos,Ferricrete Fynbos
184,Western Coastal Shale Band Vegetation,Shale Band Vegetation
185,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
186,Agulhas Sand Fynbos,Sand Fynbos
187,Southern Coastal Forest,Zonal & Intrazonal Forests
188,Elim Ferricrete Fynbos,Ferricrete Fynbos
189,Overberg Sandstone Fynbos,Sandstone Fynbos
190,Elim Ferricrete Fynbos,Ferricrete Fynbos
191,Elim Ferricrete Fynbos,Ferricrete Fynbos
192,Overberg Sandstone Fynbos,Sandstone Fynbos
193,Southern Coastal Forest,Zonal & Intrazonal Forests
194,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
195,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
196,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
197,Southern Coastal Forest,Zonal & Intrazonal Forests
198,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
199,Overberg Sandstone Fynbos,Sandstone Fynbos
200,Western Coastal Shale Band Vegetation,Shale Band Vegetation
201,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
202,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
203,Elim Ferricrete Fynbos,Ferricrete Fynbos
204,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
205,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
206,Western Coastal Shale Band Vegetation,Shale Band Vegetation
207,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
208,Agulhas Limestone Fynbos,Limestone Fynbos
209,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
210,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
211,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
212,Southern Coastal Forest,Zonal & Intrazonal Forests
213,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
214,Western Coastal Shale Band Vegetation,Shale Band Vegetation
215,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
216,Southern Coastal Forest,Zonal & Intrazonal Forests
217,Southern Coastal Forest,Zonal & Intrazonal Forests
218,Agulhas Limestone Fynbos,Limestone Fynbos
219,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
220,Elim Ferricrete Fynbos,Ferricrete Fynbos
221,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
222,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
223,Southern Coastal Forest,Zonal & Intrazonal Forests
224,Elim Ferricrete Fynbos,Ferricrete Fynbos
225,Elim Ferricrete Fynbos,Ferricrete Fynbos
226,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
227,Elim Ferricrete Fynbos,Ferricrete Fynbos
228,Southern Coastal Forest,Zonal & Intrazonal Forests
229,Southern Coastal Forest,Zonal & Intrazonal Forests
230,Southern Coastal Forest,Zonal & Intrazonal Forests
231,Southern Coastal Forest,Zonal & Intrazonal Forests
232,Ruens Silcrete Renosterveld,Silcrete Renosterveld
233,Overberg Sandstone Fynbos,Sandstone Fynbos
234,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
235,Western Coastal Shale Band Vegetation,Shale Band Vegetation
236,Ruens Silcrete Renosterveld,Silcrete Renosterveld
237,Cape Seashore Vegetation,Seashore Vegetation
238,Elim Ferricrete Fynbos,Ferricrete Fynbos
239,Ruens Silcrete Renosterveld,Silcrete Renosterveld
240,Western Coastal Shale Band Vegetation,Shale Band Vegetation
241,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
242,Overberg Sandstone Fynbos,Sandstone Fynbos
243,Hangklip Sand Fynbos,Sand Fynbos
244,Overberg Sandstone Fynbos,Sandstone Fynbos
245,Overberg Dune Strandveld,Western Strandveld
246,Southern Coastal Forest,Zonal & Intrazonal Forests
247,Southern Coastal Forest,Zonal & Intrazonal Forests
248,Ruens Silcrete Renosterveld,Silcrete Renosterveld
249,Overberg Dune Strandveld,Western Strandveld
250,Cape Seashore Vegetation,Seashore Vegetation
251,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
252,Overberg Dune Strandveld,Western Strandveld
253,Cape Coastal Lagoons,Waterbodies
254,Overberg Dune Strandveld,Western Strandveld
255,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
256,Cape Seashore Vegetation,Seashore Vegetation
257,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
258,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
259,Elim Ferricrete Fynbos,Ferricrete Fynbos
260,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
261,Cape Seashore Vegetation,Seashore Vegetation
262,Southern Coastal Forest,Zonal & Intrazonal Forests
263,Hangklip Sand Fynbos,Sand Fynbos
264,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
265,Western Coastal Shale Band Vegetation,Shale Band Vegetation
266,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
267,Overberg Dune Strandveld,Western Strandveld
268,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
269,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
270,Cape Coastal Lagoons,Waterbodies
271,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
272,Western Coastal Shale Band Vegetation,Shale Band Vegetation
273,Western Coastal Shale Band Vegetation,Shale Band Vegetation
274,Hangklip Sand Fynbos,Sand Fynbos
275,Western Coastal Shale Band Vegetation,Shale Band Vegetation
276,Western Coastal Shale Band Vegetation,Shale Band Vegetation
277,Overberg Dune Strandveld,Western Strandveld
278,De Hoop Limestone Fynbos,Limestone Fynbos
279,Elim Ferricrete Fynbos,Ferricrete Fynbos
280,Cape Seashore Vegetation,Seashore Vegetation
281,Albertinia Sand Fynbos,Sand Fynbos
282,Agulhas Limestone Fynbos,Limestone Fynbos
283,Overberg Dune Strandveld,Western Strandveld
284,Agulhas Limestone Fynbos,Limestone Fynbos
285,Potberg Sandstone Fynbos,Sandstone Fynbos
286,Western Coastal Shale Band Vegetation,Shale Band Vegetation
287,Elim Ferricrete Fynbos,Ferricrete Fynbos
288,Overberg Dune Strandveld,Western Strandveld
289,Potberg Sandstone Fynbos,Sandstone Fynbos
290,Cape Seashore Vegetation,Seashore Vegetation
291,Overberg Dune Strandveld,Western Strandveld
292,De Hoop Limestone Fynbos,Limestone Fynbos
293,Overberg Dune Strandveld,Western Strandveld
294,Cape Seashore Vegetation,Seashore Vegetation
295,De Hoop Limestone Fynbos,Limestone Fynbos
296,Freshwater Lakes,Waterbodies
297,Overberg Dune Strandveld,Western Strandveld
298,Overberg Dune Strandveld,Western Strandveld
299,Potberg Sandstone Fynbos,Sandstone Fynbos
300,Western Coastal Shale Band Vegetation,Shale Band Vegetation
301,Potberg Sandstone Fynbos,Sandstone Fynbos
302,Western Coastal Shale Band Vegetation,Shale Band Vegetation
303,De Hoop Limestone Fynbos,Limestone Fynbos
304,Western Coastal Shale Band Vegetation,Shale Band Vegetation
305,Cape Seashore Vegetation,Seashore Vegetation
306,Overberg Dune Strandveld,Western Strandveld
307,Cape Seashore Vegetation,Seashore Vegetation
308,Western Coastal Shale Band Vegetation,Shale Band Vegetation
309,Albertinia Sand Fynbos,Sand Fynbos
310,Peninsula Granite Fynbos,Granite Fynbos
311,De Hoop Limestone Fynbos,Limestone Fynbos
312,Cape Seashore Vegetation,Seashore Vegetation
313,Hangklip Sand Fynbos,Sand Fynbos
314,Elim Ferricrete Fynbos,Ferricrete Fynbos
315,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
316,Cape Flats Dune Strandveld,Western Strandveld
317,Elim Ferricrete Fynbos,Ferricrete Fynbos
318,Cape Seashore Vegetation,Seashore Vegetation
319,Albertinia Sand Fynbos,Sand Fynbos
320,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
321,Kogelberg Sandstone Fynbos,Sandstone Fynbos
322,De Hoop Limestone Fynbos,Limestone Fynbos
323,Western Coastal Shale Band Vegetation,Shale Band Vegetation
324,Overberg Dune Strandveld,Western Strandveld
325,Ruens Silcrete Renosterveld,Silcrete Renosterveld
326,Cape Seashore Vegetation,Seashore Vegetation
327,Western Coastal Shale Band Vegetation,Shale Band Vegetation
328,Overberg Dune Strandveld,Western Strandveld
329,Cape Flats Dune Strandveld,Western Strandveld
330,Western Coastal Shale Band Vegetation,Shale Band Vegetation
331,Overberg Dune Strandveld,Western Strandveld
332,Western Coastal Shale Band Vegetation,Shale Band Vegetation
333,Cape Flats Dune Strandveld,Western Strandveld
334,Western Coastal Shale Band Vegetation,Shale Band Vegetation
335,Cape Seashore Vegetation,Seashore Vegetation
336,Cape Flats Dune Strandveld,Western Strandveld
337,Hangklip Sand Fynbos,Sand Fynbos
338,Kogelberg Sandstone Fynbos,Sandstone Fynbos
339,Cape Estuarine Salt Marshes,Estuarine Vegetation
340,Overberg Dune Strandveld,Western Strandveld
341,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
342,Eastern Ruens Shale Renosterveld,Shale Renosterveld
343,Cape Flats Dune Strandveld,Western Strandveld
344,Kogelberg Sandstone Fynbos,Sandstone Fynbos
345,Cape Coastal Lagoons,Waterbodies
346,Hangklip Sand Fynbos,Sand Fynbos
347,Overberg Dune Strandveld,Western Strandveld
348,Ruens Silcrete Renosterveld,Silcrete Renosterveld
349,Canca Limestone Fynbos,Limestone Fynbos
350,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
351,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
352,Overberg Dune Strandveld,Western Strandveld
353,Cape Seashore Vegetation,Seashore Vegetation
354,De Hoop Limestone Fynbos,Limestone Fynbos
355,Overberg Dune Strandveld,Western Strandveld
356,Cape Flats Dune Strandveld,Western Strandveld
357,Cape Seashore Vegetation,Seashore Vegetation
358,Southern Coastal Forest,Zonal & Intrazonal Forests
359,Western Ruens Shale Renosterveld,Shale Renosterveld
360,Cape Seashore Vegetation,Seashore Vegetation
361,Cape Seashore Vegetation,Seashore Vegetation
362,Cape Flats Dune Strandveld,Western Strandveld
363,Overberg Sandstone Fynbos,Sandstone Fynbos
364,Cape Seashore Vegetation,Seashore Vegetation
365,Ruens Silcrete Renosterveld,Silcrete Renosterveld
366,Cape Coastal Lagoons,Waterbodies
367,Western Coastal Shale Band Vegetation,Shale Band Vegetation
368,Western Ruens Shale Renosterveld,Shale Renosterveld
369,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
370,Albertinia Sand Fynbos,Sand Fynbos
371,Hangklip Sand Fynbos,Sand Fynbos
372,Ruens Silcrete Renosterveld,Silcrete Renosterveld
373,Blombos Strandveld,Western Strandveld
374,Overberg Sandstone Fynbos,Sandstone Fynbos
375,Overberg Sandstone Fynbos,Sandstone Fynbos
376,Ruens Silcrete Renosterveld,Silcrete Renosterveld
377,Blombos Strandveld,Western Strandveld
378,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
379,Cape Seashore Vegetation,Seashore Vegetation
380,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
381,Southern Coastal Forest,Zonal & Intrazonal Forests
382,Hangklip Sand Fynbos,Sand Fynbos
383,Southern Coastal Forest,Zonal & Intrazonal Forests
384,Cape Seashore Vegetation,Seashore Vegetation
385,Cape Seashore Vegetation,Seashore Vegetation
386,Cape Seashore Vegetation,Seashore Vegetation
387,Ruens Silcrete Renosterveld,Silcrete Renosterveld
388,Cape Inland Salt Pans,Inland Saline Vegetation
389,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
390,Ruens Silcrete Renosterveld,Silcrete Renosterveld
391,Ruens Silcrete Renosterveld,Silcrete Renosterveld
392,Blombos Strandveld,Western Strandveld
393,Canca Limestone Fynbos,Limestone Fynbos
394,Ruens Silcrete Renosterveld,Silcrete Renosterveld
395,Southern Coastal Forest,Zonal & Intrazonal Forests
396,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
397,Western Coastal Shale Band Vegetation,Shale Band Vegetation
398,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
399,Southern Coastal Forest,Zonal & Intrazonal Forests
400,Elim Ferricrete Fynbos,Ferricrete Fynbos
401,Cape Inland Salt Pans,Inland Saline Vegetation
402,Hangklip Sand Fynbos,Sand Fynbos
403,Ruens Silcrete Renosterveld,Silcrete Renosterveld
404,Ruens Silcrete Renosterveld,Silcrete Renosterveld
405,Cape Seashore Vegetation,Seashore Vegetation
406,Blombos Strandveld,Western Strandveld
407,Ruens Silcrete Renosterveld,Silcrete Renosterveld
408,Western Coastal Shale Band Vegetation,Shale Band Vegetation
409,Ruens Silcrete Renosterveld,Silcrete Renosterveld
410,Blombos Strandveld,Western Strandveld
411,Eastern Ruens Shale Renosterveld,Shale Renosterveld
412,Ruens Silcrete Renosterveld,Silcrete Renosterveld
413,Ruens Silcrete Renosterveld,Silcrete Renosterveld
414,Western Coastal Shale Band Vegetation,Shale Band Vegetation
415,Overberg Dune Strandveld,Western Strandveld
416,Hangklip Sand Fynbos,Sand Fynbos
417,Southern Coastal Forest,Zonal & Intrazonal Forests
418,Blombos Strandveld,Western Strandveld
419,Cape Seashore Vegetation,Seashore Vegetation
420,Cape Seashore Vegetation,Seashore Vegetation
421,Southern Coastal Forest,Zonal & Intrazonal Forests
422,Albertinia Sand Fynbos,Sand Fynbos
423,Hangklip Sand Fynbos,Sand Fynbos
424,Ruens Silcrete Renosterveld,Silcrete Renosterveld
425,Blombos Strandveld,Western Strandveld
426,Southern Coastal Forest,Zonal & Intrazonal Forests
427,Ruens Silcrete Renosterveld,Silcrete Renosterveld
428,Potberg Sandstone Fynbos,Sandstone Fynbos
429,Cape Coastal Lagoons,Waterbodies
430,Cape Lowland Alluvial Vegetation,Alluvial Vegetation
431,Hangklip Sand Fynbos,Sand Fynbos
432,Cape Lowland Alluvial Vegetation,Alluvial Vegetation
433,Cape Estuarine Salt Marshes,Estuarine Vegetation
434,Southern Coastal Forest,Zonal & Intrazonal Forests
435,Overberg Dune Strandveld,Western Strandveld
436,Ruens Silcrete Renosterveld,Silcrete Renosterveld
437,Western Coastal Shale Band Vegetation,Shale Band Vegetation
438,Ruens Silcrete Renosterveld,Silcrete Renosterveld
439,Cape Lowland Alluvial Vegetation,Alluvial Vegetation
440,Overberg Dune Strandveld,Western Strandveld
441,Western Coastal Shale Band Vegetation,Shale Band Vegetation
442,Western Coastal Shale Band Vegetation,Shale Band Vegetation
443,Ruens Silcrete Renosterveld,Silcrete Renosterveld
444,Eastern Ruens Shale Renosterveld,Shale Renosterveld
445,Cape Seashore Vegetation,Seashore Vegetation
446,Western Coastal Shale Band Vegetation,Shale Band Vegetation
447,Ruens Silcrete Renosterveld,Silcrete Renosterveld
448,Ruens Silcrete Renosterveld,Silcrete Renosterveld
449,Ruens Silcrete Renosterveld,Silcrete Renosterveld
450,Ruens Silcrete Renosterveld,Silcrete Renosterveld
451,Canca Limestone Fynbos,Limestone Fynbos
452,Potberg Ferricrete Fynbos,Ferricrete Fynbos
453,Blombos Strandveld,Western Strandveld
454,Cape Seashore Vegetation,Seashore Vegetation
455,Blombos Strandveld,Western Strandveld
456,Blombos Strandveld,Western Strandveld
457,Ruens Silcrete Renosterveld,Silcrete Renosterveld
458,Ruens Silcrete Renosterveld,Silcrete Renosterveld
459,Cape Seashore Vegetation,Seashore Vegetation
460,Ruens Silcrete Renosterveld,Silcrete Renosterveld
461,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
462,Cape Flats Dune Strandveld,Western Strandveld
463,Cape Seashore Vegetation,Seashore Vegetation
464,Canca Limestone Fynbos,Limestone Fynbos
465,Ruens Silcrete Renosterveld,Silcrete Renosterveld
466,Hangklip Sand Fynbos,Sand Fynbos
467,Ruens Silcrete Renosterveld,Silcrete Renosterveld
468,Ruens Silcrete Renosterveld,Silcrete Renosterveld
469,Ruens Silcrete Renosterveld,Silcrete Renosterveld
470,Ruens Silcrete Renosterveld,Silcrete Renosterveld
471,Hangklip Sand Fynbos,Sand Fynbos
472,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
473,Cape Lowland Alluvial Vegetation,Alluvial Vegetation
474,Cape Flats Dune Strandveld,Western Strandveld
475,Cape Coastal Lagoons,Waterbodies
476,Ruens Silcrete Renosterveld,Silcrete Renosterveld
477,Cape Flats Dune Strandveld,Western Strandveld
478,Eastern Ruens Shale Renosterveld,Shale Renosterveld
479,Cape Flats Dune Strandveld,Western Strandveld
480,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
481,Ruens Silcrete Renosterveld,Silcrete Renosterveld
482,Cape Flats Dune Strandveld,Western Strandveld
483,Ruens Silcrete Renosterveld,Silcrete Renosterveld
484,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
485,Hangklip Sand Fynbos,Sand Fynbos
486,Western Coastal Shale Band Vegetation,Shale Band Vegetation
487,Ruens Silcrete Renosterveld,Silcrete Renosterveld
488,Peninsula Sandstone Fynbos,Sandstone Fynbos
489,Cape Flats Dune Strandveld,Western Strandveld
490,Blombos Strandveld,Western Strandveld
491,Southern Coastal Forest,Zonal & Intrazonal Forests
492,Ruens Silcrete Renosterveld,Silcrete Renosterveld
493,Ruens Silcrete Renosterveld,Silcrete Renosterveld
494,Cape Seashore Vegetation,Seashore Vegetation
495,Cape Seashore Vegetation,Seashore Vegetation
496,Cape Seashore Vegetation,Seashore Vegetation
497,Hangklip Sand Fynbos,Sand Fynbos
498,Ruens Silcrete Renosterveld,Silcrete Renosterveld
499,Ruens Silcrete Renosterveld,Silcrete Renosterveld
500,Cape Seashore Vegetation,Seashore Vegetation
501,Kogelberg Sandstone Fynbos,Sandstone Fynbos
