geometry,OBJECTID,Shape,NAME,MAPCODE12,Map code subtype,Bioregion,Biome,Changed in version,Change reference,Conservation target,Biome code,Group code,Group name,Bioregional code,Legend,Veg Type SQKM 2012,Document Link,Subtype name,Book Sort,Polygon SQKM,SHAPE_LENG
Geocortex.Gis.Geometries.Polygon,178,,Southern Coastal Forest,FOz6, ,Zonal & Intrazonal Forests,Forests,VM06,VegMap 2006,21,FO,FOz,Zonal & Intrazonal Forests,FOz,FOz 6  Southern Coastal Forest,165.1131,Descriptions\FOz_6_2006.docx, ,09 01 006,0.0728,1240.1634632791
Geocortex.Gis.Geometries.Polygon,179,,Western Coastal Shale Band Vegetation,FFb2, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFb,Shale Band Vegetation,F02,FFb 2  Western Coastal Shale Band Vegetation,134.5109,Descriptions\FFb_2_2006.docx, ,01 05 002,0.1373,2819.28584336397
Geocortex.Gis.Geometries.Polygon,180,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,0.3371,3074.6197967426
Geocortex.Gis.Geometries.Polygon,181,,Western Coastal Shale Band Vegetation,FFb2, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFb,Shale Band Vegetation,F02,FFb 2  Western Coastal Shale Band Vegetation,134.5109,Descriptions\FFb_2_2006.docx, ,01 05 002,0.4061,4900.82836889128
Geocortex.Gis.Geometries.Polygon,182,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.2184,3668.54112190951
Geocortex.Gis.Geometries.Polygon,183,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,2.2973,5765.94782960098
Geocortex.Gis.Geometries.Polygon,184,,Western Coastal Shale Band Vegetation,FFb2, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFb,Shale Band Vegetation,F02,FFb 2  Western Coastal Shale Band Vegetation,134.5109,Descriptions\FFb_2_2006.docx, ,01 05 002,1.1103,17290.4424192139
Geocortex.Gis.Geometries.Polygon,185,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.4525,8620.34863870328
Geocortex.Gis.Geometries.Polygon,186,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,172.0568,209068.585545557
Geocortex.Gis.Geometries.Polygon,187,,Southern Coastal Forest,FOz6, ,Zonal & Intrazonal Forests,Forests,VM06,VegMap 2006,21,FO,FOz,Zonal & Intrazonal Forests,FOz,FOz 6  Southern Coastal Forest,165.1131,Descriptions\FOz_6_2006.docx, ,09 01 006,0.2051,2167.76908110507
